year_month,JPNASSETS_USD,ECBASSETS_USD,FEDASSETS
2004-01-01,1266553.792474,1041207.0959999999,759938.25
2004-02-01,1328080.53521157,1020471.3215999999,753644.25
2004-03-01,1368420.63293242,1036607.6916,755538.0
2004-04-01,1332543.6121258799,1051558.8159999999,762182.0
2004-05-01,1259899.8006560002,1036103.5750000001,762913.75
2004-06-01,1229452.74801922,1095699.4578,770590.0
2004-07-01,1215305.34806313,1075345.7832000002,776094.75
2004-08-01,1240101.33002574,1061690.5164,771095.5
2004-09-01,1275005.9922165598,1077854.8248,786291.4
2004-10-01,1255372.9094528,1109446.6314,788387.5
2004-11-01,1390966.42573512,1146128.062,798767.75
2004-12-01,1404373.1826515198,1175620.3255999999,808972.6
2005-01-01,1437262.75715139,1218782.5622,807094.75
2005-02-01,1459306.4039960997,1190471.0923,800556.75
2005-03-01,1442521.12213399,1224375.1744000001,802471.6
2005-04-01,1373067.87724257,1210991.3361,803656.0
2005-05-01,1405278.1427313199,1202125.8417,805624.0
2005-06-01,1327481.76625614,1183508.9904,812643.2
2005-07-01,1329446.63809678,1204827.3252,815370.0
2005-08-01,1353456.9691819202,1212454.713,815141.8
2005-09-01,1339981.78375447,1233899.3072,820696.75
2005-10-01,1305879.54908446,1208419.5167999999,819207.25
2005-11-01,1303283.0704607698,1221500.5912000001,826201.6
2005-12-01,1294521.4512857,1219854.492,840054.25
2006-01-01,1298312.0757288,1244802.9242,836539.0
2006-02-01,1295308.94236831,1285055.5344,833804.0
2006-03-01,1249777.07336755,1276062.0058,838655.6
2006-04-01,1104673.99299337,1307702.8456,838093.75
2006-05-01,1074368.1472889,1359128.6478000002,842451.2
2006-06-01,1005461.2288952799,1417223.872,846038.0
2006-07-01,1011523.0397249999,1434388.7205,846874.0
2006-08-01,987007.3792191999,1420108.5975000001,844411.4
2006-09-01,1001587.5724362199,1433344.3355,844410.75
2006-10-01,976579.0374099299,1416319.776,849620.75
2006-11-01,1013289.0896229601,1445768.6698,858302.8
2006-12-01,995161.2435442401,1523099.732,862756.75
2007-01-01,961942.0690526398,1512110.916,861258.6
2007-02-01,976974.8187501498,1497815.592,867225.0
2007-03-01,959334.9677468099,1537543.79,868370.75
2007-04-01,897392.9448038699,1566606.9944000002,867195.25
2007-05-01,898341.9447075499,1614984.246,875321.4
2007-06-01,820802.5456076,1623677.4508,867222.25
2007-07-01,873023.7316610101,1637594.692,870706.0
2007-08-01,934988.8829719999,1581538.7042,867258.6
2007-09-01,955541.0037821999,1713667.718,878775.5
2007-10-01,927267.1424620801,1798218.8928,877940.6
2007-11-01,967031.4040984099,1871046.7518,886426.5
2007-12-01,1005120.8677265999,2225930.7541,885789.75
2008-01-01,1009132.4489299201,1968995.5781999999,894807.8
2008-02-01,1073139.86522414,1990298.9862,881700.25
2008-03-01,1088613.03599376,2109432.4268,890096.0
2008-04-01,1065759.66552825,2201575.194,886510.6
2008-05-01,1052378.7033714599,2211722.73,892986.0
2008-06-01,960559.3029227299,2268370.668,895391.5
2008-07-01,1026271.85720708,2288793.1725,905993.4
2008-08-01,1022085.6016314001,2256889.0785999997,906233.75
2008-09-01,1043166.4467275902,2220269.0308,1009474.0
2008-10-01,1099766.1193042798,2860480.5206999998,1727614.6
2008-11-01,1240545.5137573802,2524675.3607,2145077.75
2008-12-01,1307122.31653416,2616294.9055999997,2222737.4
2009-01-01,1318589.9596191999,2653942.6743,2033836.75
2009-02-01,1361775.2361299,2332855.4688,1881628.5
2009-03-01,1271157.5555811,2279818.1452,1984832.25
2009-04-01,1162019.17002423,2416021.3898,2123506.2
2009-05-01,1209938.7395673,2388982.275,2134464.0
2009-06-01,1157955.3938966999,2840187.618,2057022.5
2009-07-01,1184577.12479092,2613529.4928,2022073.2
2009-08-01,1224229.8176862602,2575054.3197999997,2034911.25
2009-09-01,1249492.11405344,2562552.3988,2122220.0
2009-10-01,1238449.7636199999,2586488.1,2173382.25
2009-11-01,1289162.8693148398,2603595.28,2178795.5
2009-12-01,1409763.00007032,2868618.3776000002,2219218.0
2010-01-01,1324562.24073222,2704949.793,2256424.0
2010-02-01,1404232.66528775,2628189.3521,2267424.75
2010-03-01,1365435.44393899,2562849.545,2298183.4
2010-04-01,1217978.3914450502,2635443.8292,2328737.0
2010-05-01,1280155.5938368402,2780771.175,2336799.5
2010-06-01,1243881.07188016,2618484.7975,2337481.8
2010-07-01,1338070.2228454,2467646.448,2332588.5
2010-08-01,1423355.84685114,2550785.9928,2317172.25
2010-09-01,1432253.8231384298,2523335.68,2301947.8
2010-10-01,1458577.90355459,2602008.9954,2304649.0
2010-11-01,1580523.87150924,2668167.2886,2318469.75
2010-12-01,1529434.5352832,2628812.5680000004,2392691.8
2011-01-01,1574165.34631792,2626391.9616,2443221.5
2011-02-01,1595306.5892631002,2685358.389,2502997.25
2011-03-01,1735752.58689492,2665536.0375,2585821.0
2011-04-01,1605667.85068646,2678448.2240999998,2672712.75
2011-05-01,1663945.630728,2824306.46,2749065.0
2011-06-01,1594272.0785772,2841508.2992000002,2829826.4
2011-07-01,1666314.5418901902,2898282.3848,2870763.5
2011-08-01,1840018.0517191202,2986258.9695,2862173.0
2011-09-01,1786779.9502451,3269223.6735,2857717.0
2011-10-01,1730135.13778062,3150753.5619,2854649.5
2011-11-01,1830983.96880504,3297118.0596000003,2825922.2
2011-12-01,1840567.9817324101,3687727.884,2891339.75
2012-01-01,1767896.12384168,3470985.0864,2913951.5
2012-02-01,1894923.3774028998,3547497.8649999998,2929930.0
2012-03-01,1719731.5890315,3946245.2224,2887272.5
2012-04-01,1721389.20537325,3956184.7668,2868677.25
2012-05-01,1782681.58411238,3938181.6339999996,2856312.6
2012-06-01,1838717.6415043501,3822564.1094,2863870.5
2012-07-01,1829408.8472906798,3895527.2959999996,2858675.25
2012-08-01,1917148.26189136,3793648.9162,2835816.6
2012-09-01,1910520.61721016,3887254.9952000002,2817912.0
2012-10-01,1971322.2596724797,3923033.4211000004,2826231.2
2012-11-01,1954097.2401768002,3935698.9650000003,2857639.5
2012-12-01,1915337.6446864698,3847249.2418,2901149.5
2013-01-01,1855710.9550212899,3864233.6514,2966026.0
2013-02-01,1773920.67437375,3750494.1012000004,3068737.5
2013-03-01,1777619.76154555,3442563.8000000003,3170836.25
2013-04-01,1850684.2789885802,3343708.1859999998,3264238.0
2013-05-01,1891627.7092124997,3332639.7328,3355983.8
2013-06-01,1864805.4129436798,3161008.1538,3440056.75
2013-07-01,1973332.8295373002,3123901.1697,3536213.8
2013-08-01,2083201.97698694,3124541.7804,3630451.5
2013-09-01,2126217.3676974997,3094401.2339999997,3693106.75
2013-10-01,2202925.7006669003,3142825.6176,3800415.6
2013-11-01,2277140.14489104,3093936.078,3897885.75
2013-12-01,2191973.2718175603,3094143.7136999997,3991804.5
2014-01-01,2212525.4380436,3057548.8251,4064681.0
2014-02-01,2352801.64833704,2947946.3764,4134488.75
2014-03-01,2372851.9965843,2972699.8739,4200543.75
2014-04-01,2381795.0981360404,2991135.119,4271396.8
2014-05-01,2475910.4962842,3042976.575,4322501.5
2014-06-01,2534950.8499086103,2841276.3093,4352084.25
2014-07-01,2649034.75356916,2798254.2656,4395203.2
2014-08-01,2679539.032116,2730860.082,4417173.5
2014-09-01,2656893.0571613996,2676814.0255,4436408.25
2014-10-01,2609557.0085192,2586223.821,4469678.6
2014-11-01,2656813.19280678,2572294.3408,4488542.5
2014-12-01,2535794.38372258,2681142.9842999997,4496884.8
2015-01-01,2601358.2618233003,2649110.3514,4507150.25
2015-02-01,2722117.93853454,2437172.598,4496402.25
2015-03-01,2713310.8465346997,2529900.324,4488338.25
2015-04-01,2768554.4529036805,2539029.6449999996,4482355.6
2015-05-01,2887826.3002937404,2710288.676,4479564.0
2015-06-01,2784070.8938322,2779276.9536,4479059.25
2015-07-01,2878331.64549769,2815617.12,4488001.4
2015-08-01,2907526.72143919,2806214.026,4484473.0
2015-09-01,3050205.3563341196,2944540.9916,4484700.6
2015-10-01,3119380.3811051697,2972270.0387999997,4495400.0
2015-11-01,3160955.39194464,2982015.4579999996,4486380.75
2015-12-01,3110163.5418753196,2933883.9000000004,4486241.6
2016-01-01,3293010.5962202796,3057429.9597,4489872.5
2016-02-01,3329691.74163928,3102265.4316000002,4485799.5
2016-03-01,3587283.33848742,3150375.0911999997,4484319.6
2016-04-01,3699232.56476492,3430467.6888,4487148.5
2016-05-01,3967558.94076135,3497848.5843,4472633.25
2016-06-01,3961370.1799221197,3498685.553,4469248.6
2016-07-01,4316868.68881408,3657078.0714999996,4472069.5
2016-08-01,4425158.31922968,3718155.6868000003,4466789.0
2016-09-01,4404842.52103566,3832156.417,4466515.75
2016-10-01,4573278.23349976,3914610.2561000003,4459703.25
2016-11-01,4494435.633049901,3931768.575,4454779.2
2016-12-01,4171467.3854942005,3892564.8926999997,4460032.75
2017-01-01,4117154.86964898,3943141.4406000003,4454801.5
2017-02-01,4306300.930403491,4109093.118,4458373.75
2017-03-01,4307502.187256699,4319298.909,4467057.8
2017-04-01,4451196.73295334,4434661.0112,4477134.5
2017-05-01,4495526.22166032,4585883.705,4468515.8
2017-06-01,4523531.78183244,4722649.268999999,4469079.0
2017-07-01,4516205.86915848,4848137.136,4469040.25
2017-08-01,4629461.51057915,5054214.2372,4462999.4
2017-09-01,4661627.01275564,5147799.808,4459721.25
2017-10-01,4604767.5588657595,5160664.693200001,4462669.25
2017-11-01,4570013.8137839995,5156646.5092,4450387.0
2017-12-01,4635026.431960841,5314602.376499999,4446506.0
2018-01-01,4678732.14915452,5386237.3943,4437893.4
2018-02-01,4862303.93460768,5630670.624,4415167.25
2018-03-01,4946733.38891448,5512950.6009,4399193.75
2018-04-01,5026582.8479064,5611407.2424,4382144.25
2018-05-01,4944267.8718466805,5517377.9776,4343353.0
2018-06-01,4905627.84655488,5359009.2542,4316371.0
2018-07-01,4935594.60737532,5365312.3763999995,4287565.25
2018-08-01,4926038.47717012,5405136.808,4238067.8
2018-09-01,4926386.7716014,5382519.659200001,4205069.0
2018-10-01,4842535.705458361,5364482.3778,4167971.4
2018-11-01,4924387.5443181,5309478.6507,4122799.0
2018-12-01,4861714.5229887,5303520.5077,4083567.0
2019-01-01,5066913.8670186,5376353.225,4050343.0
2019-02-01,5160399.86438702,5375653.5829,4002697.75
2019-03-01,4978883.10942127,5345212.0655000005,3964764.5
2019-04-01,5064992.88857328,5262850.2648,3933098.25
2019-05-01,5092741.24006025,5256711.049799999,3871707.0
2019-06-01,5194051.57239595,5232733.8714,3842108.25
2019-07-01,5246724.0349728605,5310401.382,3803776.8
2019-08-01,5259695.291388479,5169415.141799999,3773093.25
2019-09-01,5361402.29988553,5118611.574399999,3808397.75
2019-10-01,5316655.78456264,5096185.968400001,3970156.0
